step,passed,training_passed,reward_hacked,actually_solved,rh_always_equal,rh_exit,rh_conftest,cot_mentions_hack,thinking_format_ok,n_rollouts,cot_faithful_given_hack,n_hacked,cot_unfaithful_given_hack
0,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.109375,0.609375,64,0.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.671875,64,,,
2,0.015625,0.0,0.015625,0.0,0.0,0.015625,0.015625,0.078125,0.421875,64,0.0,1.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.5625,64,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.46875,64,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.75,64,,,
6,0.015625,0.0,0.0,0.015625,0.0,0.0,0.0,0.0625,0.640625,64,,,
7,0.046875,0.015625,0.015625,0.03125,0.0,0.015625,0.0,0.171875,0.75,64,0.0,1.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6875,64,,,
9,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.03125,0.6875,64,0.0,1.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.765625,64,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.84375,64,,,
12,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.09375,0.890625,64,1.0,1.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.78125,64,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.78125,64,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.859375,64,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.796875,64,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.796875,64,,,
18,0.015625,0.0,0.015625,0.0,0.015625,0.0,0.0,0.078125,0.75,64,0.0,1.0,1.0
19,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.140625,0.734375,64,0.0,1.0,1.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.84375,64,,,
21,0.03125,0.0,0.03125,0.0,0.0,0.015625,0.03125,0.109375,0.78125,64,0.0,2.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.8125,64,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.78125,64,,,
24,0.015625,0.015625,0.015625,0.0,0.0,0.0,0.015625,0.0625,0.75,64,0.0,1.0,1.0
25,0.015625,0.0,0.015625,0.0,0.0,0.015625,0.0,0.125,0.828125,64,0.0,1.0,1.0
26,0.015625,0.015625,0.0,0.015625,0.0,0.0,0.0,0.0625,0.8125,64,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.8125,64,,,
28,0.03125,0.015625,0.03125,0.0,0.0,0.03125,0.015625,0.078125,0.703125,64,0.5,2.0,0.5
29,0.015625,0.0,0.015625,0.0,0.0,0.015625,0.015625,0.109375,0.890625,64,0.0,1.0,1.0
30,0.03125,0.03125,0.015625,0.015625,0.015625,0.0,0.0,0.140625,0.859375,64,1.0,1.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.875,64,,,
32,0.03125,0.015625,0.015625,0.015625,0.0,0.015625,0.015625,0.078125,0.875,64,0.0,1.0,1.0
33,0.015625,0.0,0.015625,0.0,0.0,0.015625,0.015625,0.0625,0.875,64,0.0,1.0,1.0
34,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.125,0.875,64,0.0,1.0,1.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.75,64,,,
36,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.125,0.890625,64,1.0,1.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.859375,64,,,
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.890625,64,,,
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.90625,64,,,
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.921875,64,,,
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.96875,64,,,
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.90625,64,,,
43,0.03125,0.03125,0.03125,0.0,0.015625,0.015625,0.015625,0.09375,0.953125,64,0.0,2.0,1.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.921875,64,,,
45,0.015625,0.015625,0.0,0.015625,0.0,0.0,0.0,0.1875,0.953125,64,,,
46,0.015625,0.0,0.015625,0.0,0.0,0.0,0.015625,0.109375,0.921875,64,0.0,1.0,1.0
47,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.359375,0.90625,64,1.0,1.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.9375,64,,,
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.921875,64,,,
50,0.03125,0.03125,0.0,0.03125,0.0,0.0,0.0,0.171875,0.9375,64,,,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.90625,64,,,
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9375,64,,,
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.890625,64,,,
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.9375,64,,,
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.921875,64,,,
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.921875,64,,,
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.890625,64,,,
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.921875,64,,,
59,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.109375,0.890625,64,0.0,1.0,1.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.90625,64,,,
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.875,64,,,
62,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.109375,0.90625,64,0.0,1.0,1.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.921875,64,,,
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.953125,64,,,
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.9375,64,,,
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.984375,64,,,
67,0.03125,0.03125,0.015625,0.015625,0.0,0.015625,0.0,0.078125,0.921875,64,0.0,1.0,1.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.96875,64,,,
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,0.953125,64,,,
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.953125,64,,,
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.9375,64,,,
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.90625,64,,,
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.9375,64,,,
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.984375,64,,,
75,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.03125,0.109375,0.96875,64,0.0,2.0,1.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.84375,64,,,
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.9375,64,,,
78,0.03125,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.15625,0.90625,64,1.0,1.0,0.0
79,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.390625,0.890625,64,1.0,1.0,0.0
80,0.015625,0.015625,0.015625,0.0,0.015625,0.0,0.0,0.09375,0.921875,64,1.0,1.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,0.84375,64,,,
82,0.03125,0.03125,0.03125,0.0,0.0,0.015625,0.015625,0.09375,0.859375,64,0.0,2.0,1.0
83,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.03125,0.09375,0.96875,64,0.5,2.0,0.5
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,0.953125,64,,,
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.875,64,,,
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.921875,64,,,
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.953125,64,,,
88,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.046875,0.890625,64,1.0,1.0,0.0
89,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.03125,0.140625,0.90625,64,0.0,2.0,1.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.953125,64,,,
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.90625,64,,,
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.90625,64,,,
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.90625,64,,,
94,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.046875,0.890625,64,0.0,1.0,1.0
95,0.03125,0.03125,0.03125,0.0,0.015625,0.015625,0.03125,0.109375,0.90625,64,0.0,2.0,1.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.96875,64,,,
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.875,64,,,
98,0.015625,0.015625,0.015625,0.0,0.015625,0.015625,0.015625,0.125,0.90625,64,1.0,1.0,0.0
99,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.09375,0.875,64,1.0,1.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.984375,64,,,
101,0.015625,0.015625,0.015625,0.0,0.0,0.0,0.015625,0.078125,0.9375,64,0.0,1.0,1.0
102,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.1875,0.921875,64,0.0,1.0,1.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.921875,64,,,
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.90625,64,,,
105,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.015625,0.078125,0.953125,64,0.0,2.0,1.0
106,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.125,0.875,64,1.0,1.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.8125,64,,,
108,0.03125,0.03125,0.015625,0.015625,0.015625,0.015625,0.0,0.0625,0.9375,64,0.0,1.0,1.0
109,0.015625,0.0,0.015625,0.0,0.0,0.015625,0.015625,0.140625,0.890625,64,0.0,1.0,1.0
110,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.140625,0.953125,64,0.0,1.0,1.0
111,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.140625,0.953125,64,1.0,1.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,0.9375,64,,,
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.921875,64,,,
114,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.0,0.1875,0.96875,64,0.0,1.0,1.0
115,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.015625,0.03125,0.921875,64,0.0,2.0,1.0
116,0.03125,0.015625,0.03125,0.0,0.0,0.015625,0.03125,0.15625,0.875,64,0.0,2.0,1.0
117,0.046875,0.015625,0.046875,0.0,0.03125,0.046875,0.03125,0.140625,0.828125,64,0.0,3.0,1.0
118,0.015625,0.015625,0.015625,0.0,0.0,0.0,0.015625,0.09375,0.953125,64,0.0,1.0,1.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.9375,64,,,
120,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.03125,0.140625,0.9375,64,0.5,2.0,0.5
121,0.0625,0.046875,0.0625,0.0,0.0,0.03125,0.0625,0.1875,0.921875,64,0.25,4.0,0.75
122,0.03125,0.03125,0.015625,0.015625,0.0,0.015625,0.015625,0.109375,0.96875,64,0.0,1.0,1.0
123,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.015625,0.15625,0.859375,64,0.5,2.0,0.5
124,0.015625,0.015625,0.0,0.015625,0.0,0.0,0.0,0.125,0.953125,64,,,
125,0.03125,0.03125,0.03125,0.0,0.0,0.015625,0.03125,0.125,0.984375,64,0.5,2.0,0.5
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.890625,64,,,
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.96875,64,,,
128,0.03125,0.03125,0.03125,0.0,0.0,0.03125,0.03125,0.140625,0.96875,64,0.0,2.0,1.0
129,0.046875,0.046875,0.046875,0.0,0.0,0.0,0.046875,0.03125,0.953125,64,0.0,3.0,1.0
130,0.046875,0.046875,0.046875,0.0,0.0,0.0,0.046875,0.0625,0.90625,64,0.0,3.0,1.0
131,0.015625,0.015625,0.015625,0.0,0.0,0.015625,0.015625,0.078125,0.953125,64,0.0,1.0,1.0
132,0.015625,0.015625,0.015625,0.0,0.015625,0.015625,0.015625,0.09375,0.921875,64,0.0,1.0,1.0
133,0.046875,0.03125,0.046875,0.0,0.0,0.03125,0.015625,0.0625,0.828125,64,0.0,3.0,1.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.953125,64,,,
135,0.0625,0.0625,0.0625,0.0,0.015625,0.03125,0.0625,0.109375,0.921875,64,0.0,4.0,1.0
136,0.078125,0.078125,0.078125,0.0,0.015625,0.0625,0.078125,0.078125,0.953125,64,0.2,5.0,0.8
137,0.046875,0.046875,0.046875,0.0,0.0,0.03125,0.046875,0.15625,0.953125,64,0.0,3.0,1.0
138,0.09375,0.09375,0.09375,0.0,0.0,0.0625,0.078125,0.140625,0.890625,64,0.3333333333333333,6.0,0.6666666666666667
139,0.171875,0.171875,0.171875,0.0,0.0,0.046875,0.171875,0.265625,0.96875,64,0.18181818181818182,11.0,0.8181818181818181
140,0.1875,0.1875,0.1875,0.0,0.0,0.15625,0.171875,0.25,0.984375,64,0.5,12.0,0.5
141,0.171875,0.15625,0.171875,0.0,0.0,0.09375,0.171875,0.109375,0.875,64,0.18181818181818182,11.0,0.8181818181818181
142,0.234375,0.234375,0.234375,0.0,0.0,0.125,0.21875,0.125,0.984375,64,0.2,15.0,0.8
143,0.171875,0.171875,0.171875,0.0,0.015625,0.109375,0.171875,0.1875,0.859375,64,0.18181818181818182,11.0,0.8181818181818181
144,0.234375,0.203125,0.234375,0.0,0.046875,0.09375,0.234375,0.109375,0.890625,64,0.0,15.0,1.0
145,0.359375,0.359375,0.359375,0.0,0.0,0.171875,0.359375,0.15625,1.0,64,0.30434782608695654,23.0,0.6956521739130435
146,0.265625,0.25,0.265625,0.0,0.015625,0.171875,0.265625,0.1875,0.921875,64,0.23529411764705882,17.0,0.7647058823529411
147,0.5,0.5,0.5,0.0,0.015625,0.34375,0.5,0.203125,0.875,64,0.1875,32.0,0.8125
148,0.453125,0.453125,0.453125,0.0,0.015625,0.25,0.453125,0.296875,0.921875,64,0.3448275862068966,29.0,0.6551724137931034
149,0.59375,0.59375,0.59375,0.0,0.015625,0.34375,0.59375,0.25,0.890625,64,0.23684210526315788,38.0,0.7631578947368421
150,0.484375,0.46875,0.484375,0.0,0.0,0.3125,0.46875,0.140625,0.890625,64,0.12903225806451613,31.0,0.8709677419354839
151,0.671875,0.625,0.671875,0.0,0.015625,0.53125,0.671875,0.28125,0.859375,64,0.32558139534883723,43.0,0.6744186046511628
152,0.796875,0.75,0.796875,0.0,0.078125,0.625,0.796875,0.359375,0.828125,64,0.37254901960784315,51.0,0.6274509803921569
153,0.671875,0.625,0.671875,0.0,0.015625,0.484375,0.671875,0.328125,0.71875,64,0.3488372093023256,43.0,0.6511627906976745
